t,q1,q2,q3
0,1.5708,0,0
0.0505051,1.57449,-0.0225346,0.0233427
0.10101,1.57818,-0.0450692,0.0466853
0.151515,1.58188,-0.0676038,0.070028
0.20202,1.58557,-0.0901384,0.0933707
0.252525,1.58926,-0.112673,0.116713
0.30303,1.59296,-0.135208,0.140056
0.353535,1.59665,-0.157742,0.163399
0.40404,1.60034,-0.180277,0.186741
0.454545,1.60404,-0.202811,0.210084
0.505051,1.60773,-0.225346,0.233427
0.555556,1.61142,-0.247881,0.256769
0.606061,1.61512,-0.270415,0.280112
0.656566,1.61881,-0.29295,0.303455
0.707071,1.6225,-0.315484,0.326797
0.757576,1.6262,-0.338019,0.35014
0.808081,1.62989,-0.360553,0.373483
0.858586,1.63358,-0.383088,0.396825
0.909091,1.63728,-0.405623,0.420168
0.959596,1.64097,-0.428157,0.443511
1.0101,1.64603,-0.461133,0.477404
1.06061,1.65657,-0.535871,0.553501
1.11111,1.66711,-0.61061,0.629597
1.16162,1.67765,-0.685348,0.705694
1.21212,1.68818,-0.760087,0.78179
1.26263,1.69872,-0.834826,0.857887
1.31313,1.70926,-0.909564,0.933983
1.36364,1.7198,-0.984303,1.01008
1.41414,1.73033,-1.05904,1.08618
1.46465,1.74087,-1.13378,1.16227
1.51515,1.75141,-1.20852,1.23837
1.56566,1.76195,-1.28326,1.31447
1.61616,1.77248,-1.358,1.39056
1.66667,1.78302,-1.43273,1.46666
1.71717,1.79356,-1.50747,1.54276
1.76768,1.8041,-1.58221,1.61885
1.81818,1.81463,-1.65695,1.69495
1.86869,1.82517,-1.73169,1.77105
1.91919,1.83571,-1.80643,1.84714
1.9697,1.84625,-1.88117,1.92324
2.0202,1.83456,-1.90676,1.93568
2.07071,1.78955,-1.85865,1.85262
2.12121,1.74453,-1.81054,1.76957
2.17172,1.69952,-1.76242,1.68652
2.22222,1.6545,-1.71431,1.60347
2.27273,1.60949,-1.6662,1.52042
2.32323,1.56447,-1.61809,1.43737
2.37374,1.51946,-1.56997,1.35431
2.42424,1.47444,-1.52186,1.27126
2.47475,1.42942,-1.47375,1.18821
2.52525,1.38441,-1.42563,1.10516
2.57576,1.33939,-1.37752,1.02211
2.62626,1.29438,-1.32941,0.939056
2.67677,1.24936,-1.28129,0.856005
2.72727,1.20435,-1.23318,0.772953
2.77778,1.15933,-1.18507,0.689901
2.82828,1.11432,-1.13696,0.60685
2.87879,1.0693,-1.08884,0.523798
2.92929,1.02429,-1.04073,0.440746
2.9798,0.979272,-0.992617,0.357695
3.0303,0.957304,-0.969136,0.317164
3.08081,0.9507,-0.962078,0.30498
3.13131,0.944096,-0.95502,0.292796
3.18182,0.937493,-0.947962,0.280613
3.23232,0.930889,-0.940903,0.268429
3.28283,0.924286,-0.933845,0.256245
3.33333,0.917682,-0.926787,0.244061
3.38384,0.911078,-0.919728,0.231878
3.43434,0.904475,-0.91267,0.219694
3.48485,0.897871,-0.905612,0.20751
3.53535,0.891267,-0.898553,0.195326
3.58586,0.884664,-0.891495,0.183142
3.63636,0.87806,-0.884437,0.170959
3.68687,0.871457,-0.877378,0.158775
3.73737,0.864853,-0.87032,0.146591
3.78788,0.858249,-0.863262,0.134407
3.83838,0.851646,-0.856204,0.122224
3.88889,0.845042,-0.849145,0.11004
3.93939,0.838438,-0.842087,0.0978561
3.9899,0.831835,-0.835029,0.0856723
4.0404,0.828691,-0.831669,0.0798725
4.09091,0.826413,-0.829233,0.0756687
4.14141,0.824134,-0.826798,0.0714648
4.19192,0.821855,-0.824363,0.067261
4.24242,0.819577,-0.821928,0.0630572
4.29293,0.817298,-0.819492,0.0588534
4.34343,0.81502,-0.817057,0.0546496
4.39394,0.812741,-0.814622,0.0504458
4.44444,0.810463,-0.812186,0.046242
4.49495,0.808184,-0.809751,0.0420381
4.54545,0.805905,-0.807316,0.0378343
4.59596,0.803627,-0.80488,0.0336305
4.64646,0.801348,-0.802445,0.0294267
4.69697,0.79907,-0.80001,0.0252229
4.74747,0.796791,-0.797575,0.0210191
4.79798,0.794512,-0.795139,0.0168153
4.84848,0.792234,-0.792704,0.0126114
4.89899,0.789955,-0.790269,0.00840763
4.94949,0.787677,-0.787833,0.00420381
5,0.785398,-0.785398,0
