t,q1,q2,q3
0,2.35619,0,0
0.030303,2.3629,-0.0159252,-0.0481431
0.0606061,2.3696,-0.0318504,-0.0962863
0.0909091,2.3763,-0.0477756,-0.144429
0.121212,2.38301,-0.0637007,-0.192573
0.151515,2.38971,-0.0796259,-0.240716
0.181818,2.39642,-0.0955511,-0.288859
0.212121,2.40312,-0.111476,-0.337002
0.242424,2.40982,-0.127401,-0.385145
0.272727,2.41653,-0.143327,-0.433288
0.30303,2.42323,-0.159252,-0.481431
0.333333,2.42993,-0.175177,-0.529575
0.363636,2.43664,-0.191102,-0.577718
0.393939,2.44334,-0.207027,-0.625861
0.424242,2.45004,-0.222953,-0.674004
0.454545,2.45675,-0.238878,-0.722147
0.484848,2.46345,-0.254803,-0.77029
0.515152,2.47015,-0.270728,-0.818433
0.545455,2.47686,-0.286653,-0.866577
0.575758,2.48356,-0.302579,-0.91472
0.606061,2.49026,-0.318504,-0.962863
0.636364,2.49697,-0.334429,-1.01101
0.666667,2.50367,-0.350354,-1.05915
0.69697,2.51037,-0.366279,-1.10729
0.727273,2.51708,-0.382204,-1.15544
0.757576,2.52378,-0.39813,-1.20358
0.787879,2.53049,-0.414055,-1.25172
0.818182,2.53719,-0.42998,-1.29986
0.848485,2.54389,-0.445905,-1.34801
0.878788,2.5506,-0.46183,-1.39615
0.909091,2.5573,-0.477756,-1.44429
0.939394,2.564,-0.493681,-1.49244
0.969697,2.57071,-0.509606,-1.54058
1,2.57741,-0.525531,-1.58872
1.0303,2.55512,-0.534094,-1.57946
1.06061,2.53282,-0.542657,-1.57019
1.09091,2.51053,-0.55122,-1.56092
1.12121,2.48824,-0.559783,-1.55166
1.15152,2.46594,-0.568346,-1.54239
1.18182,2.44365,-0.576909,-1.53313
1.21212,2.42135,-0.585472,-1.52386
1.24242,2.39906,-0.594035,-1.51459
1.27273,2.37677,-0.602598,-1.50533
1.30303,2.35447,-0.611161,-1.49606
1.33333,2.33218,-0.619724,-1.48679
1.36364,2.30989,-0.628287,-1.47753
1.39394,2.28759,-0.63685,-1.46826
1.42424,2.2653,-0.645413,-1.45899
1.45455,2.243,-0.653976,-1.44973
1.48485,2.22071,-0.662539,-1.44046
1.51515,2.19842,-0.671102,-1.4312
1.54545,2.17612,-0.679665,-1.42193
1.57576,2.15383,-0.688228,-1.41266
1.60606,2.13154,-0.696791,-1.4034
1.63636,2.10924,-0.705354,-1.39413
1.66667,2.08695,-0.713917,-1.38486
1.69697,2.06466,-0.72248,-1.3756
1.72727,2.04236,-0.731043,-1.36633
1.75758,2.02007,-0.739606,-1.35706
1.78788,1.99777,-0.748169,-1.3478
1.81818,1.97548,-0.756732,-1.33853
1.84848,1.95319,-0.765295,-1.32927
1.87879,1.93089,-0.773858,-1.32
1.90909,1.9086,-0.782421,-1.31073
1.93939,1.88631,-0.790984,-1.30147
1.9697,1.86401,-0.799547,-1.2922
2,1.84172,-0.80811,-1.28293
2.0303,1.80971,-0.807422,-1.24406
2.06061,1.7777,-0.806734,-1.20518
2.09091,1.74569,-0.806046,-1.1663
2.12121,1.71368,-0.805357,-1.12743
2.15152,1.68167,-0.804669,-1.08855
2.18182,1.64966,-0.803981,-1.04967
2.21212,1.61765,-0.803293,-1.0108
2.24242,1.58564,-0.802604,-0.97192
2.27273,1.55363,-0.801916,-0.933043
2.30303,1.52162,-0.801228,-0.894166
2.33333,1.48961,-0.80054,-0.855289
2.36364,1.4576,-0.799851,-0.816412
2.39394,1.42559,-0.799163,-0.777536
2.42424,1.39358,-0.798475,-0.738659
2.45455,1.36157,-0.797787,-0.699782
2.48485,1.32956,-0.797098,-0.660905
2.51515,1.29755,-0.79641,-0.622029
2.54545,1.26554,-0.795722,-0.583152
2.57576,1.23353,-0.795034,-0.544275
2.60606,1.20152,-0.794345,-0.505398
2.63636,1.16951,-0.793657,-0.466521
2.66667,1.1375,-0.792969,-0.427645
2.69697,1.1055,-0.792281,-0.388768
2.72727,1.07349,-0.791592,-0.349891
2.75758,1.04148,-0.790904,-0.311014
2.78788,1.00947,-0.790216,-0.272137
2.81818,0.977456,-0.789528,-0.233261
2.84848,0.945447,-0.788839,-0.194384
2.87879,0.913437,-0.788151,-0.155507
2.90909,0.881427,-0.787463,-0.11663
2.93939,0.849418,-0.786775,-0.0777536
2.9697,0.817408,-0.786086,-0.0388768
3,0.785398,-0.785398,0
