t,q1,q2,q3
0,2.35619,0,0
0.030303,2.37964,-0.0769036,0.0638147
0.0606061,2.40309,-0.153807,0.127629
0.0909091,2.42654,-0.230711,0.191444
0.121212,2.44999,-0.307614,0.255259
0.151515,2.47344,-0.384518,0.319074
0.181818,2.49689,-0.461422,0.382888
0.212121,2.52034,-0.538325,0.446703
0.242424,2.54378,-0.615229,0.510518
0.272727,2.56723,-0.692133,0.574333
0.30303,2.59068,-0.769036,0.638147
0.333333,2.61413,-0.84594,0.701962
0.363636,2.63758,-0.922843,0.765777
0.393939,2.66103,-0.999747,0.829592
0.424242,2.68448,-1.07665,0.893406
0.454545,2.70792,-1.15355,0.957221
0.484848,2.73137,-1.23046,1.02104
0.515152,2.75482,-1.30736,1.08485
0.545455,2.77827,-1.38427,1.14867
0.575758,2.80172,-1.46117,1.21248
0.606061,2.82517,-1.53807,1.27629
0.636364,2.84862,-1.61498,1.34011
0.666667,2.87206,-1.69188,1.40392
0.69697,2.89551,-1.76878,1.46774
0.727273,2.91896,-1.84569,1.53155
0.757576,2.94241,-1.92259,1.59537
0.787879,2.96586,-1.99949,1.65918
0.818182,2.98931,-2.0764,1.723
0.848485,3.01276,-2.1533,1.78681
0.878788,3.03621,-2.23021,1.85063
0.909091,3.05965,-2.30711,1.91444
0.939394,3.0831,-2.38401,1.97826
0.969697,3.10655,-2.46092,2.04207
1,3.13,-2.53782,2.10589
1.0303,3.10612,-2.53408,2.08774
1.06061,3.08224,-2.53033,2.06959
1.09091,3.05837,-2.52659,2.05144
1.12121,3.03449,-2.52285,2.03329
1.15152,3.01061,-2.51911,2.01513
1.18182,2.98673,-2.51536,1.99698
1.21212,2.96285,-2.51162,1.97883
1.24242,2.93897,-2.50788,1.96068
1.27273,2.9151,-2.50414,1.94253
1.30303,2.89122,-2.50039,1.92438
1.33333,2.86734,-2.49665,1.90623
1.36364,2.84346,-2.49291,1.88808
1.39394,2.81958,-2.48917,1.86993
1.42424,2.79571,-2.48543,1.85178
1.45455,2.77183,-2.48168,1.83363
1.48485,2.74795,-2.47794,1.81548
1.51515,2.72407,-2.4742,1.79733
1.54545,2.70019,-2.47046,1.77918
1.57576,2.67631,-2.46671,1.76103
1.60606,2.65244,-2.46297,1.74288
1.63636,2.62856,-2.45923,1.72473
1.66667,2.60468,-2.45549,1.70658
1.69697,2.5808,-2.45174,1.68843
1.72727,2.55692,-2.448,1.67028
1.75758,2.53304,-2.44426,1.65213
1.78788,2.50917,-2.44052,1.63398
1.81818,2.48529,-2.43677,1.61583
1.84848,2.46141,-2.43303,1.59768
1.87879,2.43753,-2.42929,1.57953
1.90909,2.41365,-2.42555,1.56138
1.93939,2.38978,-2.4218,1.54323
1.9697,2.3659,-2.41806,1.52508
2,2.34202,-2.41432,1.50693
2.0303,2.29485,-2.36496,1.46126
2.06061,2.24768,-2.3156,1.4156
2.09091,2.20051,-2.26623,1.36993
2.12121,2.15334,-2.21687,1.32427
2.15152,2.10617,-2.16751,1.2786
2.18182,2.059,-2.11815,1.23294
2.21212,2.01183,-2.06879,1.18727
2.24242,1.96466,-2.01943,1.14161
2.27273,1.91749,-1.97007,1.09595
2.30303,1.87032,-1.92071,1.05028
2.33333,1.82315,-1.87134,1.00462
2.36364,1.77598,-1.82198,0.958953
2.39394,1.7288,-1.77262,0.913288
2.42424,1.68163,-1.72326,0.867624
2.45455,1.63446,-1.6739,0.821959
2.48485,1.58729,-1.62454,0.776295
2.51515,1.54012,-1.57518,0.730631
2.54545,1.49295,-1.52582,0.684966
2.57576,1.44578,-1.47646,0.639302
2.60606,1.39861,-1.42709,0.593637
2.63636,1.35144,-1.37773,0.547973
2.66667,1.30427,-1.32837,0.502309
2.69697,1.2571,-1.27901,0.456644
2.72727,1.20993,-1.22965,0.41098
2.75758,1.16276,-1.18029,0.365315
2.78788,1.11559,-1.13093,0.319651
2.81818,1.06842,-1.08157,0.273986
2.84848,1.02125,-1.0322,0.228322
2.87879,0.974079,-0.982843,0.182658
2.90909,0.926909,-0.933482,0.136993
2.93939,0.879739,-0.884121,0.0913288
2.9697,0.832568,-0.834759,0.0456644
3,0.785398,-0.785398,0
