t,q1,q2,q3
0,1.5708,0,0
0.0909091,1.53029,0.070759,-0.0520632
0.181818,1.48978,0.141518,-0.104126
0.272727,1.44927,0.212277,-0.15619
0.363636,1.40876,0.283036,-0.208253
0.454545,1.36826,0.353795,-0.260316
0.545455,1.32775,0.424554,-0.31238
0.636364,1.28724,0.495313,-0.364443
0.727273,1.24673,0.566072,-0.416506
0.818182,1.20622,0.636831,-0.468569
0.909091,1.16572,0.70759,-0.520633
1,1.12521,0.778349,-0.572696
1.09091,1.08476,0.849077,-0.624752
1.18182,1.04463,0.919619,-0.676767
1.27273,1.00517,0.989788,-0.728698
1.36364,0.966706,1.0594,-0.780505
1.45455,0.92956,1.12826,-0.832144
1.54545,0.894069,1.1962,-0.883575
1.63636,0.860563,1.26302,-0.934756
1.72727,0.829372,1.32853,-0.985645
1.81818,0.800827,1.39255,-1.0362
1.90909,0.775259,1.4549,-1.08638
2,0.752998,1.51538,-1.13615
2.09091,0.734088,1.57398,-1.18549
2.18182,0.718129,1.63087,-1.23447
2.27273,0.704788,1.6862,-1.28313
2.36364,0.693735,1.74013,-1.33151
2.45455,0.684636,1.79278,-1.37968
2.54545,0.677162,1.84431,-1.42766
2.63636,0.670979,1.89487,-1.47551
2.72727,0.665755,1.94458,-1.52328
2.81818,0.66116,1.99361,-1.571
2.90909,0.656861,2.0421,-1.61874
3,0.652526,2.09018,-1.66652
3.09091,0.647869,2.13786,-1.7143
3.18182,0.642787,2.18452,-1.76157
3.27273,0.637219,2.22939,-1.80773
3.36364,0.631107,2.2717,-1.85215
3.45455,0.624391,2.31067,-1.89423
3.54545,0.617011,2.34553,-1.93336
3.63636,0.608909,2.37552,-1.96892
3.72727,0.600024,2.39986,-2.0003
3.81818,0.590297,2.41778,-2.02689
3.90909,0.57967,2.42851,-2.04808
4,0.568081,2.43128,-2.06325
4.09091,0.553446,2.42531,-2.07403
4.18182,0.534222,2.41077,-2.08234
4.27273,0.511168,2.38833,-2.08803
4.36364,0.485041,2.35864,-2.09094
4.45455,0.4566,2.32238,-2.09092
4.54545,0.426604,2.28019,-2.08781
4.63636,0.39581,2.23274,-2.08146
4.72727,0.364977,2.18068,-2.07172
4.81818,0.334864,2.12469,-2.05842
4.90909,0.306227,2.06542,-2.04143
5,0.279827,2.00354,-2.02057
5.09091,0.256281,1.93921,-1.99548
5.18182,0.235519,1.87237,-1.96615
5.27273,0.217261,1.80326,-1.93303
5.36364,0.201229,1.73214,-1.89652
5.45455,0.187146,1.65925,-1.85705
5.54545,0.174732,1.58485,-1.81504
5.63636,0.16371,1.50918,-1.77092
5.72727,0.153802,1.43251,-1.7251
5.81818,0.144728,1.35508,-1.67802
5.90909,0.13621,1.27715,-1.63009
6,0.127971,1.19897,-1.58174
6.09091,0.119837,1.12079,-1.53333
6.18182,0.112056,1.04284,-1.48492
6.27273,0.104981,0.965383,-1.43655
6.36364,0.0989636,0.888649,-1.38823
6.45455,0.0943576,0.812883,-1.33997
6.54545,0.0915155,0.738326,-1.29179
6.63636,0.0907902,0.665219,-1.24371
6.72727,0.0925343,0.593806,-1.19574
6.81818,0.0971007,0.524327,-1.14789
6.90909,0.104842,0.457025,-1.10019
7,0.116112,0.392142,-1.05265
7.09091,0.131089,0.329613,-1.00515
7.18182,0.149493,0.269081,-0.957576
7.27273,0.17098,0.210347,-0.909931
7.36364,0.195207,0.153211,-0.862223
7.45455,0.221832,0.0974732,-0.814462
7.54545,0.250513,0.0429334,-0.766653
7.63636,0.280907,-0.0106078,-0.718806
7.72727,0.312671,-0.06335,-0.670928
7.81818,0.345462,-0.115493,-0.623027
7.90909,0.378939,-0.167237,-0.57511
8,0.412758,-0.218781,-0.527185
8.09091,0.446635,-0.270291,-0.479259
8.18182,0.480511,-0.321802,-0.431334
8.27273,0.514387,-0.373313,-0.383408
8.36364,0.548264,-0.424824,-0.335482
8.45455,0.58214,-0.476334,-0.287556
8.54545,0.616016,-0.527845,-0.23963
8.63636,0.649893,-0.579356,-0.191704
8.72727,0.683769,-0.630866,-0.143778
8.81818,0.717645,-0.682377,-0.0958519
8.90909,0.751522,-0.733888,-0.047926
9,0.785398,-0.785398,0
