t,x,y
0,9,1
0.02404809619238477,9,1
0.04809619238476953,9,1
0.07214428857715431,9,1
0.09619238476953906,9,1
0.1202404809619238,9,1
0.1442885771543086,9,1
0.1683366733466934,9,1
0.1923847695390781,9,1
0.2164328657314629,9,1
0.2404809619238477,9,1
0.2645290581162325,9,1
0.2885771543086172,9,1
0.312625250501002,9,1
0.3366733466933868,9,1
0.3607214428857715,9,1
0.3847695390781563,9,1
0.408817635270541,9,1
0.4328657314629258,9,1
0.4569138276553106,9,1
0.4809619238476954,9,1
0.5050100200400802,9,1
0.529058116232465,9,1
0.5531062124248497,9,1
0.5771543086172345,9,1
0.6012024048096193,9,1
0.625250501002004,9,1
0.6492985971943888,9,1
0.6733466933867736,9,1
0.6973947895791583,9,1
0.721442885771543,9,1
0.7454909819639278,9,1
0.7695390781563125,9,1
0.7935871743486973,9,1
0.8176352705410821,9,1
0.8416833667334669,9,1
0.8657314629258517,9,1
0.8897795591182365,9,1
0.9138276553106213,9,1
0.9378757515030059,9,1
0.9619238476953907,9,1
0.9859719438877755,9,1
1.01002004008016,8.980707809834591,1.021319738458722
1.034068136272545,8.933796393377467,1.071245795660237
1.05811623246493,8.886023783108797,1.119419431196217
1.082164328657315,8.837389979028583,1.16584064506666
1.106212424849699,8.787894981136819,1.210509437271567
1.130260521042084,8.737538789433513,1.253425807810939
1.154308617234469,8.686321403918656,1.294589756684773
1.178356713426854,8.634242824592256,1.334001283893073
1.202404809619239,8.581303051454309,1.371660389435836
1.226452905811623,8.527502084504814,1.407567073313063
1.250501002004008,8.472839923743775,1.441721335524754
1.274549098196393,8.417316569171188,1.474123176070909
1.298597194388778,8.360932020787054,1.504772594951527
1.322645290581162,8.303686278591377,1.53366959216661
1.346693386773547,8.245579342584149,1.560814167716157
1.370741482965932,8.186611212765378,1.586206321600168
1.394789579158317,8.12678188913506,1.609846053818642
1.418837675350701,8.066091371693195,1.631733364371581
1.442885771543086,8.004539660439784,1.651868253258983
1.466933867735471,7.942126755374827,1.67025072048085
1.490981963927856,7.878852656498323,1.68688076603718
1.51503006012024,7.814717363810273,1.701758389927974
1.539078156312625,7.749720877310676,1.714883592153233
1.56312625250501,7.683863196999535,1.726256372712955
1.587174348697395,7.617144322876845,1.735876731607141
1.611222444889779,7.54956425494261,1.743744668835791
1.635270541082164,7.481122993196829,1.749860184398905
1.659318637274549,7.411820537639501,1.754223278296483
1.683366733466934,7.341656888270625,1.756833950528525
1.707414829659319,7.270632045090204,1.757692201095031
1.731462925851703,7.198746008098238,1.756798029996001
1.755511022044088,7.125998777294724,1.754151437231435
1.779559118236473,7.052390352679664,1.749752422801333
1.803607214428858,6.977920734253059,1.743600986705694
1.827655310621243,6.902589922014906,1.73569712894452
1.851703406813627,6.826397915965208,1.72604084951781
1.875751503006012,6.749344716103963,1.714632148425563
1.899799599198397,6.671430322431171,1.701471025667781
1.923847695390781,6.592654734946834,1.686557481244462
1.947895791583166,6.513017953650948,1.669891515155607
1.971943887775551,6.432519978543518,1.651473127401216
1.995991983967936,6.351160809624542,1.63130231798129
2.020040080160321,6.269869832329397,1.610493421194834
2.044088176352705,6.190357023269999,1.591096807835953
2.06813627254509,6.112659581319643,1.573157052708491
2.092184368737475,6.036777506478335,1.556674155812452
2.11623246492986,5.962710798746071,1.541648117147833
2.140280561122244,5.890459458122853,1.528078936714636
2.16432865731463,5.82002348460868,1.515966614512859
2.188376753507014,5.751402878203555,1.505311150542504
2.212424849699399,5.684597638907473,1.49611254480357
2.236472945891784,5.619607766720437,1.488370797296057
2.260521042084168,5.556433261642446,1.482085908019964
2.284569138276553,5.495074123673501,1.477257876975294
2.308617234468938,5.435530352813601,1.473886704162044
2.332665330661323,5.377801949062746,1.471972389580215
2.356713426853708,5.321888912420937,1.471514933229807
2.380761523046092,5.267791242888173,1.47251433511082
2.404809619238477,5.215508940464455,1.474970595223254
2.428857715430862,5.165042005149783,1.47888371356711
2.452905811623247,5.116390436944155,1.484253690142387
2.476953907815632,5.069554235847574,1.491080524949084
2.501002004008016,5.024533401860038,1.499364217987202
2.525050100200401,4.981327934981546,1.509104769256742
2.549098196392785,4.939937835212101,1.520302178757703
2.57314629258517,4.900363102551701,1.532956446490085
2.597194388777555,4.862603737000346,1.547067572453888
2.62124248496994,4.826659738558036,1.562635556649111
2.645290581162325,4.792531107224772,1.579660399075757
2.669338677354709,4.760217843000554,1.598142099733823
